"_ID","SUM_NUM","MEANING","FORECASE"
1,1,"ดาวอาทิตย์ดาวพลังความเชื่อมั่น","เป็นเลขแห่งผู้นำ ได้รับอิทธิพลจากดาวอาทิตย์  เป็นเลขแห่งความเชื่อมั่นในตัวเองสูง มีไหวพริบปฏิภาณดีเยี่ยม สติปัญญาว่องไวใจนักเลง กล้าหาญ มีความทะเยอทะยานที่จะเป็นใหญ่เป็นโต กล้าเสี่ยง ชอบออกหน้า ถือความคิดอ่านตนเป็นใหญ่ เป็นผู้นำคน ชอบเด่นชอบดัง เป็นที่เคารพนับถือคนทั่วไป ใจคอเด็ดเดี่ยว คิดการเช่นไรมักจะรีบทำเดี๋ยวนั้น มั่นคงมีการตัดสินใจได้รวดเร็ว ไม่โลเล ชีวิตมักจะมีการเดินทางไม่เกรงกลัวต่ออุปสรรคต่างๆ เป็นเลขของเจ้าชะตะตาที่มีความแข็งแรงมีพลังร้อนแรงไม่มีขีดจำกัดอยู่ ชีวิตประสบความสำเร็จดี มีชื่อเสียง มีสมบัติทรัพย์ มีความสุข ดีได้ด้วยปัญญาความสามารถของ ทำงานด้านรับราชการ ทหาร ตำรวจ เป็นเจ้าคนนายคน ดีนักแล"
2,2,"ดาวจันทร์ดาวพลังแห่งจินตนาการ","มักเป็นคนมีจินตนาการสูง จิตใจอ่อนไหว มองโลกในแง่ดี บางครั้งคิดมาก คิดเล็กคิดน้อย ขี้น้อยใจ ช่างคิด ช่างฝัน ชอบศิลปะ ชอบของละเอียดอ่อน มีอารมณ์ศิลปิน ไวต่อความรู้สึกสูง เปลี่ยนแปลงอารมณ์ง่าย ด้วยเหตุนี้จึงเชื่อใจคนอื่นได้ง่าย ชอบชีวิตอิสระ ใครอยู่ใกล้แล้วจะมีความสุข เป็นคนอ่อนไหวแต่ถึงอย่างไรก็ตามเมื่อมีเหตุการณ์ไม่คาดคิด จะควบคุมสติได้ดี มีความกล้าหาญ เข็มแข็ง หลิกผันสถานการณ์ได้ดี ทำงานเป็นอาร์ตทิส ศิลปิน ดีไซด์เนอร์ นักออกแบบ สถาปนิก ครีเอทีฟ อาร์ตไดเร็คเตอร์ ฝ่ายศิลป์ทั้งหลาย นักออกแบบ ผู้ที่ต้องใช้ศาสตร์และศิลปะมาประกอบอาชีพจะรุ่งเรือง ติดที่เป็นคนดื้อรั้นแบบดื้อเงียบ ช่างฝันและขี้อาย เจ้าระเบียบ ขี้จุกจิก ต้องลดความดื้อและความอายลงบ้างจะดี"
3,3,"ดาวอังคารดาวพลังแห่งความกล้าหาญชาญชัย","ชอบการต่อสู้ ชอบสงคราม การสู้รบ ไม่ค่อยยอมแพ้ใคร เก่งกล้าสามารถ ชอบการแข่งขันเป็นที่สุด ถือทิฐิแพ้ไม่เป็น ดาวอังคารจึงถือเป็นทั้งสงครามที่แท้จริง อาจจะต้องต่อสู้ในชั้นเชิงธุรกิจหน้าที่การงาน แย่งลูกค้า ขับเคี่ยวกันด้วยชั้นเชิงธุรกิจต่างๆ คุณไม่ยอมแพ้แน่ๆ เรื่องความรักก็เช่นเดียวกัน จีบใครชนะจะภูมิใจมากๆ สิ่งที่คุณขยันขันแข็งต่อสู้นี้จะเป็นรากฐานสำคัญให้ชีวิตประสบความสำเร็จในด้านต่างๆได้เป็นอย่างดีเลยทีเดียว เหมาะจะทำงานเป็นฝ่ายการตลาดที่ต้องขับเคี่ยวกับสินค้าอื่นๆ เปิดธุรกิจส่วนตัวที่ต้องแข่งขันเยอะๆจะถูกใจคุณที่สุด หรือนักวิเคราะห์หลักทรัพย์ ตลาดหุ้นก็ได้ดี เพราะคุณไม่ชอบอะไรที่ได้มาง่ายๆอยู่แล้วนี่ ติดที่ต้องเหนื่อยและต่อสู้มากจึงจะสำเร็จ เลขนี้ดีแต่จะติดขัดไม่ราบรื่นเรื่องความรัก และมักจะเสียเงินไปกับของหรูหราเสมอ"
4,4,"ดาวพุธพลังแห่งดาวสติปัญญา","เป็นคนเฉลียวฉลาด ว่องไว ทันเกมคนอื่นๆ ใครก็หลอกไม่ได้ เอาตัวรอดได้ดีมาก ชีวิตประสบความสำเร็จดี รู้จักวางตัว ทันคนชอบติดต่อคบหาสมาคม ทำงานด้านการติดต่อสื่อสาร เป็นฝ่ายบริหารงานลูกค้า การตลาด ประชาสัมพันธ์ เซลขายของต่างๆ อาจารย์ CallCenter งานที่ต้องติดต่อกับคนมากๆ มนุษย์สัมพันธ์เป็นเลิศ ใครๆก็ชอบอยู่ใกล้ ชอบเข้ามาคบค้าสมาคมด้วย มีความคล่องตัวสูง ติดตรงที่จะเหนื่อยกับการเดินทางเสมอ เหนื่อยกับการติดต่อสื่อสาร บางครั้งจิตใจสับสนบอกความต้องการของตัวเองไม่ถูก"
5,5,"ดาวพลังแห่งปัญญาปัญญาทางธรรมะ","ปัญญาทางด้านคุณธรรม ด้วยปัญญาที่มีอยู่จะทำให้ชีวิตประสบความสำเร็จ ประกอบการทำงานใดๆจะราบรื่นรุ่งเรือง มีจริยธรรมดี มีความยุติธรรม ไม่ทำร้าย เอาเปรียบใคร ชอบสิ่งเร้นลับ ไสยศาสตร์ สิ่งศักดิ์สิทธิ์ สิ่งเหนือธรรมชาติ พิสูจน์ไม่ได้ด้วยวิทยาศาสตร์ เป็นคนมีความสุขุมเยือกเย็น เป็นคนมองโลกในแง่ดี ให้ความสำคัญกับศาสนาทำงานด้านอาจารย์ นักปกครอง งานที่ต้องอาศัยความสุขุมรอบคอบดี ถ้าเป็นพระจะชอบพิธีกรรมทางศาสนาต่างๆ ติดที่เป็นคนโกรธง่าย เชื่อมั่นในตัวเองค่อนข้างสูงทำให้ขาดเสน่ห์ไปได้"
6,6,"ดาวแห่งศิลปะวิทยาการ","มีเสน่ห์ รักสวยรักงาม มีจินตนาการความฝัน ชอบศิลปะ ชื่นชมในงานศิลปะต่างๆ ทำอะไรก็จะคำนึงภาพลักษณ์ตนเองเป็นอย่างแรก มีรสนิยมดีชอบศิลปะ และดนตรี สนุกบันเทิง เป็นคนที่ชอบความรักสบายอย่างมาก มีโลกส่วนตัว เจ้าสำราญเสมอ ไม่ชอบเอาเปรียบเบียดเบียนใคร ชื่อนี้ดีมากจะส่งเสริมเงินทองไหลมาเทมา มีเสน่ห์ ชื่อเสียง มีความสำเร็จที่งดงาม ทำงานด้านช่างแต่งหน้า ศิลปิน สไตล์ริส นักประชาสัมพันธ์ ฝ่ายศิลป์ต่างๆ จะดี"
7,7,"ดาวเสาร์ดาวพลังแห่งทุกข์โศก","โรคภัยไข้เจ็บ ป่วยง่าย เป็นหวัดบ่อย ปวดหัวตัวร้อยเสมอ ทำอะไรก็ติดขัดไปหมด มีการสูญเสียเสมอ ไม่เป็นที่ มักเดือดร้อนเป็นประจำ ไม่สมหวังเรื่องความรัก และครอบครัว ต้องแยกกันอยู่ไม่ค่อยได้อยู่พร้อมหน้าพร้อมตา แต่มีดีเรื่อง มีสติปัญญาและความอดทนเป็นเลิศ ใช้ภาษาการติดต่อสื่อสารเก่งประคับประคองตัวแต่เป็นแบบลุ่มๆดอนๆไม่มั่นคง การตั้งชื่อให้หลีกเลี่ยงเลข 7 ไว้ได้เลยเพราะถือว่าเป็นดาวบาปเคราะห์ จะมีผลทางลบมากกว่าทางบวกจะนำความยุ่งยากให้แก่ชีวิต มีความไม่มั่นคงในชีวิต"
8,8,"ดาวราหูพลังแห่งความลุ่มหลงมัวเมา","โมโหง่าย ถูกครอบงำทางเสื่อมได้ง่าย การงานความรักมีแต่อุปสรรค โดนคนใส่ร้ายก็บ่อย ศัตรูมาก คนไม่ชอบหน้าเยอะ และจะถูกชักจูงได้ง่าย ไปในทางอบายมุข พนันบอล เล่นมวย เที่ยวกลางคืนบ่อยๆจนเสียงานเสียการ มีความทุกข์ในใจสูง ถ้าจะเป็นใหญ่เป็นโตได้แต่ต้องลำบากฝ่าฟันมากกว่าจะสำเร็จ"
9,9,"พลังดาวเกตุพลังแห่งความลึกลับ","เลขนี้เป็นมงคลมาก เพราะได้พลังจากสิ่งที่มองไม่เห็นมาช่วยดูแลคุ้มครอง ช่วยทำให้กิจการงานใดๆประสบผลสำเร็จ บางครั้งมีอุบัติเหตุก็ทำให้รอดพ้นอย่างไม่น่าเชื่อ มีอายุยืนมั่นคง มีความคิดรวดเร็วว่องไว มีลางสังหรณ์ที่แม่นยำ เลื่อมใส ศรัทธา สนใจในศาสนาเร้นลับสนใจของเก่าแก่ เลขนี้ทำให้อยู่สบาย เรื่องราวชีวิตราบรื่นได้โชคลาภแบบไม่คาดฝัน เพราะมีสิ่งพลังเร้นลับช่วยอยู่ ชอบสะสมของเก่า ของโบราณต่างๆ ถ้าสวดมนตร์บ่อยๆและแผ่เมตตาบารมี พลังสวดมนตร์บำบัดจะช่วยให้พลังของสิ่งที่มองไม่เห็นช่วยคุณได้มากขึ้นไปอีก การทำงานเป็นนักค้าของเก่า นักโบราณคดี โหราจารย์ ผู้ที่ต้องยุ่งเกี่ยวกับเรื่องเร้นลับหรือของเก่าของขลังจะดี"
10,10,"พลังแห่งอุปสรรค","เป็นคนจริงจังซีเรียสทุกเรื่อง เชื่อมั่นในตัวเองสูง ไม่ชอบอยู่ใต้บังคับใคร เป็นคนแข็งกร้าว ชอบเป็นผู้นำ ยอมหักไม่ยอมงอ ทำอะไรมีอุปสรรคศัตรูมาก ไม่ค่อยประนีประนอม แต่กล้าตัดสินใจ กล้าได้กล้าเสีย ในชีวิตมักจะมีอุปสรรค คิดจะทำอะไรมักจะเจอคู่แข่ง มีคนปองร้าย บริวารมักจะให้โทษ  ทำให้ชีวิตมักอาภัพ มีศัตรูรอบด้าน คนในครอบครัวไม่เชื่อฟัง ต้องทุกข์ใจเพราะคนในครอบครัว และยังจะมีโรคภัยไข้เจ็บได้ง่ายป่วย ไม่สบายบ่อย สุขภาพอ่อนแอ ผลรวมเบอร์ทุกตัวที่ได้เลขนี้"
