"_ID","SUM_NUM","MEANING"
1,14,"ผู้ยิ่งใหญ่"
2,15,"ความสุนทรี (มีโชค เรื่องเงินทอง)"
3,19,"ความสำเร็จกับความสุข"
4,20,"คิดการใหญ่"
5,23,"มหานิยม ยอดเสน่ห์"
6,24,"สมบูรณ์พลูสุข"
7,25,"ความสำเร็จพลิกผัน"
8,26,"ความสุขที่หรูหรา"
9,32,"เจ้าเสน่ห์"
10,35,"อำนาจ บารมี"
11,36,"ร่ำรวยเงินทอง และความรัก"
12,40,"พลังอำนาจ (ชอบเดินทาง)"
13,41,"พลังจักรวาล (ความผูกพันกับต่างประเทศ)"
14,42,"ดวงอุปถัมภ์ ช่วยเหลือเกื้อหนุน"
15,44,"ความสำเร็จจากการพูด (ปากเป็นเอก เลขเป็นโทร)"
16,45,"เทพีแห่งโชค"
17,46,"พลังแห่งโชค การแสวงหา"
18,50,"พลังปัญญา ความกระตือรือร้น"
19,51,"ความสุขที่ได้มา"
20,52,"ความสำเร็จจากความมุ่งมั่น"
21,54,"ดวงดาวแห่งโชค"
22,55,"เจริญก้าวหน้าและสุขสบาย"
23,56,"มีโชคเรื่องเงินทอง และความรัก"
24,59,"มงคลสุขแห่งชีวิต"
25,60,"มั่งคั่ง และเพ้อฝัน"
26,62,"มีเสน่ห์ มิตรสหายมาก"
27,63,"มีทรัพย์ ความรัก และความสดชื่น"
28,64,"ชีวิตพบกับความสำเร็จ"
29,65,"คู่ทรัพย์ คู่โชค"
